"Symbol,Type,Date,Quantity,Price"
"NDAQ,SELL,2026-01-07,1.07,100.39"
"QQQ,SELL,2026-01-12,0.2948,625.90"
"VTI,SELL,2026-01-12,1.25,342.00"
"B,BUY,2026-01-13,5.29,49.47"
"PAAS,BUY,2026-01-13,4.86,56.67"
"MSTR,BUY,2026-01-14,1.47,183.13"
"HL,BUY,2026-01-20,10.81,27.75"
"EQX,BUY,2026-01-20,20.09,14.93"
"MU,BUY,2026-01-20,1,376.93"
"IBIT,SELL,2026-01-22,9.9,50.40"
"ETHA,SELL,2026-01-22,15.11,22.18"
"AUGO,BUY,2026-01-23,5.71,70.00"
"META,BUY,2026-01-23,0.7806,659.79"
"ARKK,SELL,2026-01-26,4,80.68"
"COPX,BUY,2026-01-27,3.6,89.38"
"MSTR,SELL,2026-01-28,1.47,159.23"
"META,SELL,2026-02-02,0.9123,711.77"
"OPEN,BUY,2026-02-02,47.2,4.96"
"EEM,BUY,2026-02-06,10.89,59.58"
"VDE,BUY,2026-03-02,3,160.21"
"USO,BUY,2026-03-05,1.77,98.34"
"HL,SELL,2026-03-06,10.81,20.58"
"COPX,SELL,2026-03-06,3.6,80.78"
"AUGO,SELL,2026-03-06,5.71,81.02"
"PAAS,SELL,2026-03-06,8.81,59.68"
"EQX,SELL,2026-03-06,20.09,16.58"
"B,SELL,2026-03-06,10.29,45.39"
"GOOGL,SELL,2026-03-06,2,299.41"
"EEM,SELL,2026-03-09,13.92,56.81"
"USO,BUY,2026-03-09,6.76,116.49"
"YPF,BUY,2026-03-09,13.19,37.89"
"VIST,BUY,2026-03-09,7.89,63.36"
"SPY,BUY,2026-03-09,1.64,677.47"
"VDE,SELL,2026-03-10,3,158.78"
"YPF,SELL,2026-03-10,13.19,37.10"
"MU,BUY,2026-03-10,1.43,410.00"
"RING,BUY,2026-03-10,5,90.02"
"VIST,SELL,2026-03-10,7.89,59.09"
"IBIT,BUY,2026-03-11,24.92,40.11"
"RING,SELL,2026-03-19,5,71.52"
"VIST,BUY,2026-03-19,7.21,74.15"
"USO,SELL,2026-04-01,8.54,123.39"
"VIST,SELL,2026-04-01,7.21,71.46"
"OPEN,BUY,2026-04-01,74,4.78"
"RING,BUY,2026-04-01,6,83.33"
"MSFT,BUY,2026-04-02,1.92,371.51"
"ORCL,BUY,2026-04-16,3,175.27"
"HOOD,BUY,2026-04-16,7.42,86.03"
"OPEN,BUY,2026-05-08,7.18,4.89"
"NOW,BUY,2026-05-11,6.52,91.94"
"IBIT,SELL,2026-06-01,24.92,40.55"
"HUBS,BUY,2026-06-02,2.5,231.27"
"IGV,BUY,2026-06-02,3.95,103.72"
"MU,SELL,2026-06-04,2.43,992.87"
"TEAM,BUY,2026-06-08,10.07,99.23"
"CRM,BUY,2026-06-08,3,183.67"
"MSFT,BUY,2026-07-01,2.32,383.64"
"CRM,SELL,2026-07-24,3,161.18"
"OPEN,BUY,2026-07-27,121.42,3.98"
"HUBS,SELL,2026-07-30,2.5,232.31"
"NOW,BUY,2026-07-30,5,109.81"
"ORCL,BUY,2026-07-30,5,126.71"
"MU,BUY,2026-08-03,1.28,779.13"
